Date,Start Time,End Time,Production Time,Temperature,Humidity
2024-08-26,08:00:00,08:00:41,29,273.1,53.0
2024-08-26,08:00:41,08:01:14,37,517.5,43.2
2024-08-26,08:01:14,08:01:46,26,321.2,51.5
2024-08-26,08:01:46,08:02:26,40,923.4,41.6
2024-08-26,08:02:26,08:02:56,29,401.9,36.3
2024-08-26,08:02:56,08:03:48,27,957.0,49.0
2024-08-26,08:03:48,08:04:27,31,579.7,59.3
2024-08-26,08:04:27,08:05:05,26,668.4,39.3
2024-08-26,08:05:05,08:05:47,50,588.6,43.8
2024-08-26,08:05:47,08:06:30,26,216.4,50.2
2024-08-26,08:06:30,08:07:03,28,438.2,46.2
2024-08-26,08:07:03,08:07:39,56,189.2,55.3
2024-08-26,08:07:39,08:08:29,26,660.7,52.9
2024-08-26,08:08:29,08:09:26,57,502.2,31.7
2024-08-26,08:09:26,08:10:05,27,800.2,60.0
2024-08-26,08:10:05,08:10:45,28,298.4,52.6
2024-08-26,08:10:45,08:11:42,27,248.1,55.9
2024-08-26,08:11:42,08:12:36,29,465.7,49.5
2024-08-26,08:12:36,08:13:24,26,933.9,55.7
2024-08-26,08:13:24,08:14:01,28,739.4,33.4
2024-08-26,08:14:01,08:14:49,26,477.0,40.4
2024-08-26,08:14:49,08:15:40,29,565.5,56.3
2024-08-26,08:15:40,08:16:31,57,175.8,36.0
2024-08-26,08:16:31,08:17:13,28,986.1,32.3
2024-08-26,08:17:13,08:17:56,27,699.8,53.6
2024-08-26,08:17:56,08:18:26,28,356.9,55.1
2024-08-26,08:18:26,08:19:18,33,627.2,34.9
2024-08-26,08:19:18,08:19:53,26,198.5,55.6
2024-08-26,08:19:53,08:20:34,29,969.3,50.6
2024-08-26,08:20:34,08:21:14,26,257.3,45.6
2024-08-26,08:21:14,08:21:59,26,683.2,54.9
2024-08-26,08:21:59,08:22:53,28,320.9,42.6
2024-08-26,08:22:53,08:23:40,37,745.8,35.8
2024-08-26,08:23:40,08:24:05,29,799.1,38.5
2024-08-26,08:24:05,08:24:32,50,706.1,45.2
2024-08-26,08:24:32,08:25:06,25,653.0,45.9
2024-08-26,08:25:06,08:25:33,57,903.2,54.2
2024-08-26,08:25:33,08:26:19,58,170.8,53.7
2024-08-26,08:26:19,08:26:53,25,397.8,47.4
2024-08-26,08:26:53,08:27:34,38,323.5,53.4
2024-08-26,08:27:34,08:28:07,28,989.2,35.8
2024-08-26,08:28:07,08:29:06,40,450.5,31.5
2024-08-26,08:29:06,08:29:56,37,759.4,56.2
2024-08-26,08:29:56,08:30:39,25,716.3,32.3
2024-08-26,08:30:39,08:31:08,26,290.9,37.4
2024-08-26,08:31:08,08:31:52,25,315.1,50.9
2024-08-26,08:31:52,08:32:30,25,353.2,42.3
2024-08-26,08:32:30,08:33:04,26,470.0,56.3
2024-08-26,08:33:04,08:33:47,52,310.9,38.9
2024-08-26,08:33:47,08:34:45,29,117.7,30.4
2024-08-26,08:34:45,08:35:35,27,891.5,39.0
2024-08-26,08:35:35,08:36:16,27,969.0,47.3
2024-08-26,08:36:16,08:36:56,43,407.4,41.3
2024-08-26,08:36:56,08:37:47,29,404.7,46.0
2024-08-26,08:37:47,08:38:15,27,106.4,56.3
2024-08-26,08:38:15,08:38:44,26,712.2,57.4
2024-08-26,08:38:44,08:39:15,42,842.9,38.0
2024-08-26,08:39:15,08:40:10,36,231.9,43.9
2024-08-26,08:40:10,08:40:38,29,243.7,46.5
2024-08-26,08:40:38,08:41:33,29,811.1,58.5
2024-08-26,08:41:33,08:42:00,42,654.7,60.0
2024-08-26,08:42:00,08:42:51,29,140.4,37.1
2024-08-26,08:42:51,08:43:33,36,660.3,51.8
2024-08-26,08:43:33,08:44:20,51,378.0,41.3
2024-08-26,08:44:20,08:44:58,26,431.9,30.2
2024-08-26,08:44:58,08:45:45,25,792.8,30.3
2024-08-26,08:45:45,08:46:36,57,829.8,43.8
2024-08-26,08:46:36,08:47:15,28,460.3,44.7
2024-08-26,08:47:15,08:47:45,27,952.4,30.7
2024-08-26,08:47:45,08:48:20,28,465.8,50.6
2024-08-26,08:48:20,08:49:15,25,794.7,38.8
2024-08-26,08:49:15,08:50:14,56,535.5,46.8
2024-08-26,08:50:14,08:51:06,28,907.8,39.0
2024-08-26,08:51:06,08:52:01,27,917.0,35.0
2024-08-26,08:52:01,08:52:37,37,178.7,42.2
2024-08-26,08:52:37,08:53:03,29,942.8,37.0
2024-08-26,08:53:03,08:53:45,26,843.0,46.0
2024-08-26,08:53:45,08:54:22,27,812.2,36.0
2024-08-26,08:54:22,08:55:17,25,280.8,45.3
2024-08-26,08:55:17,08:56:16,25,824.6,34.7
2024-08-26,08:56:16,08:57:07,41,865.1,50.1
2024-08-26,08:57:07,08:58:06,31,360.2,52.6
2024-08-26,08:58:06,08:58:32,29,957.0,33.3
2024-08-26,08:58:32,08:59:28,46,144.9,44.0
2024-08-26,08:59:28,09:00:26,31,234.9,32.1
2024-08-26,09:00:26,09:01:12,29,583.8,47.9
2024-08-26,09:01:12,09:02:11,25,618.2,37.9
2024-08-26,09:02:11,09:03:10,31,680.6,45.8
2024-08-26,09:03:10,09:04:01,26,115.3,45.5
2024-08-26,09:04:01,09:04:38,28,964.3,57.7
2024-08-26,09:04:38,09:05:35,53,140.1,46.5
2024-08-26,09:05:35,09:06:02,35,228.8,47.5
2024-08-26,09:06:02,09:06:43,28,112.6,42.0
2024-08-26,09:06:43,09:07:21,27,610.2,58.5
2024-08-26,09:07:21,09:08:20,25,939.0,53.3
2024-08-26,09:08:20,09:08:55,56,699.4,38.6
2024-08-26,09:08:55,09:09:23,58,840.4,55.3
2024-08-26,09:09:23,09:09:48,28,112.0,43.0
2024-08-26,09:09:48,09:10:23,27,587.8,54.9
2024-08-26,09:10:23,09:11:15,27,513.6,54.7
2024-08-26,09:11:15,09:11:46,28,549.1,35.7
2024-08-26,09:11:46,09:12:25,26,165.0,51.0
2024-08-26,09:12:25,09:13:01,27,716.0,38.7
2024-08-26,09:13:01,09:13:46,25,552.9,38.9
2024-08-26,09:13:46,09:14:36,59,788.6,38.9
2024-08-26,09:14:36,09:15:12,28,536.8,51.8
2024-08-26,09:15:12,09:15:45,45,234.4,36.9
2024-08-26,09:15:45,09:16:22,28,683.4,30.0
2024-08-26,09:16:22,09:17:05,30,255.1,51.5
2024-08-26,09:17:05,09:17:44,41,885.2,35.1
2024-08-26,09:17:44,09:18:22,27,651.8,33.1
2024-08-26,09:18:22,09:19:05,38,241.5,37.1
2024-08-26,09:19:05,09:19:57,27,966.1,41.4
2024-08-26,09:19:57,09:20:46,25,566.5,44.3
2024-08-26,09:20:46,09:21:41,27,165.6,31.3
2024-08-26,09:21:41,09:22:37,28,664.1,59.1
2024-08-26,09:22:37,09:23:24,28,327.9,51.5
2024-08-26,09:23:24,09:23:56,25,823.3,39.7
2024-08-26,09:23:56,09:24:25,29,836.0,39.6
2024-08-26,09:24:25,09:25:09,43,981.1,43.5
2024-08-26,09:25:09,09:25:57,27,551.7,48.8
2024-08-26,09:25:57,09:26:41,25,509.5,34.4
2024-08-26,09:26:41,09:27:18,33,778.1,35.7
2024-08-26,09:27:18,09:27:54,50,219.2,55.8
2024-08-26,09:27:54,09:28:37,53,592.2,37.7
2024-08-26,09:28:37,09:29:15,27,591.6,41.4
2024-08-26,09:29:15,09:29:41,25,180.5,56.1
2024-08-26,09:29:41,09:30:32,27,476.2,49.9
2024-08-26,09:30:32,09:30:57,29,868.0,40.3
2024-08-26,09:30:57,09:31:46,27,870.5,50.5
2024-08-26,09:31:46,09:32:23,29,189.3,30.6
2024-08-26,09:32:23,09:33:02,28,181.6,52.1
2024-08-26,09:33:02,09:33:29,25,336.4,44.6
2024-08-26,09:33:29,09:34:02,58,887.3,54.4
2024-08-26,09:34:02,09:34:43,28,216.0,58.6
2024-08-26,09:34:43,09:35:14,46,748.0,57.8
2024-08-26,09:35:14,09:36:13,41,191.0,57.3
2024-08-26,09:36:13,09:36:49,29,660.8,45.4
2024-08-26,09:36:49,09:37:32,35,420.5,40.8
2024-08-26,09:37:32,09:38:27,25,810.0,44.0
2024-08-26,09:38:27,09:39:18,29,310.3,50.7
2024-08-26,09:39:18,09:40:16,29,675.3,56.5
2024-08-26,09:40:16,09:41:09,28,312.1,36.2
2024-08-26,09:41:09,09:41:34,29,742.3,57.5
2024-08-26,09:41:34,09:42:19,25,886.3,54.5
2024-08-26,09:42:19,09:42:56,26,214.1,59.4
2024-08-26,09:42:56,09:43:43,26,879.9,56.4
2024-08-26,09:43:43,09:44:20,26,634.2,38.4
2024-08-26,09:44:20,09:44:58,26,214.4,33.2
2024-08-26,09:44:58,09:45:34,39,484.8,33.4
2024-08-26,09:45:34,09:46:27,25,244.8,38.7
2024-08-26,09:46:27,09:47:12,25,730.3,48.4
2024-08-26,09:47:12,09:47:54,29,783.0,54.1
2024-08-26,09:47:54,09:48:21,55,195.2,57.0
2024-08-26,09:48:21,09:49:07,25,555.5,48.7
2024-08-26,09:49:07,09:49:35,28,833.2,30.2
2024-08-26,09:49:35,09:50:30,25,942.5,35.6
2024-08-26,09:50:30,09:51:05,28,562.2,33.0
2024-08-26,09:51:05,09:51:39,28,955.3,40.9
2024-08-26,09:51:39,09:52:14,28,582.1,45.0
2024-08-26,09:52:14,09:53:10,27,454.8,31.3
2024-08-26,09:53:10,09:53:57,29,863.4,40.5
2024-08-26,09:53:57,09:54:50,26,543.7,35.4
2024-08-26,09:54:50,09:55:40,49,524.7,49.4
